Sample	System	Organ	CellType
ENCSR769LNJ.Left_Ventricle.Stanford_Snyder	Cardiovascular	Heart	Ventricle
ENCSR000AAE.Bronchial_Smooth_Muscle.CSHL_Gingeras	Respiratory	Lung	Smooth
ENCSR518XRJ.Pancreatic_Islets.UCSF_Costello	Endocrine	Pancreas	Islet
ENCSR364IBB.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR413LXW.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR763CQW.Primary_T_cells_from_peripheral_blood.FHCRC_Heimfeld	Blood	Blood	T.cell
ENCSR198TKA.Kidney_Mesangial_Primary_Cells.CSHL_Gingeras	Urinary	Kidney	Stromal
ENCSR239GFM.Brain_Hippocampus_Middle.Broad_Bernstein	Nervous	Brain	Brain
ENCSR516VDS.Fetal_Muscle_Lower_Limb_Skeletal.UW_Glass	Musculoskeletal	Muscle	Skeletal
ENCSR575OHC.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR224HFZ.Mammary_Gland_Myoepithelial_Primary_Cells.UCSF_Costello	Breast	Gland	Epithelial
ENCSR000COX.HMEC_Mammary_Epithelial_Primary_Cells.CSHL_Gingeras	Breast	Skin	Epithelial
ENCSR196ARY.Mammary_Gland_Fibroblast_Primary_Cells.UCSF_Costello	Breast	Gland	Fibroblast
ENCSR000CUT.Primary_mononuclear_cells_from_peripheral_blood.CSHL_Gingeras	Blood	Blood	T.cell
ENCSRMAR039.Primary_T_helper_naive_cells_from_peripheral_blood.Broad_Bernstein	Blood	Blood	T.cell
ENCSR620NSN.Bronchial_Fibroblast_Primary_Cells.CSHL_Gingeras	Respiratory	Lung	Fibroblast
ENCSR571BML.Pancreas.Stanford_Snyder	Endocrine	Pancreas	Pancreas
ENCSR043RSE.H1_Cells.UCSD_Thomson	Embryonic	ESC	ESC
ENCSR000CUJ.Fibroblast_of_the_Aortic_Adventitia.CSHL_Gingeras	Cardiovascular	Aorta	Fibroblast
ENCSR278UYN.Lung.Stanford_Snyder	Respiratory	Lung	Lung
ENCSR670WQY.H1_Cells.UCSD_Thomson	Embryonic	ESC	ESC
ENCSR872LTT.hESC_Derived_CD56._Ectoderm_Cultured_Cells.Harvard	Embryonic	Ectoderm	Ectoderm
ENCSR990LHE.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR894WMQ.LHCN.M2_Skeletal_Muscle_Myoblast_Cells.CSHL_Gingeras	Musculoskeletal	Muscle	Skeletal
ENCSR667JTA.MCF.7_Mammary_Gland_Adenocarcinoma_Cell_Line.UConn_Graveley	Breast	Gland	Adenocarcinoma
ENCSR500UOD.hESC_Derived_CD56._Mesoderm_Cultured_Cells.Harvard	Embryonic	Mesoderm	Mesoderm
ENCSR222IGR.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR000CTV.Primary_CD20._B_cells_from_peripheral_blood.CSHL_Gingeras	Blood	Blood	B.cell
ENCSR000AFG.Fetal_Body_Skin.CSHL_Gingeras	Skin	Skin	Skin
ENCSR000CTZ.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.CSHL_Gingeras	Adipose	Adipose	MSC
ENCSR233IJT.NH.A_Astrocytes_Primary_Cells.CSHL_Gingeras	Nervous	Brain	Astrocyte
ENCSR711NGL.Fetal_Muscle_Upper_Limb_Skeletal.UW_Glass	Musculoskeletal	Muscle	Skeletal
ENCSR000AFL.Fetal_Tongue.CSHL_Gingeras	Tongue	Tongue	Tongue
ENCSR420NLC.PC.3_Prostate_Adenocarcinoma_Cell_Line.CSHL_Gingeras	Reproductive	Prostate	Adenocarcinoma
ENCSR052FJA.H9_Derived_Smooth_Muscle_Cultured_Cells.CSHL_Gingeras	Musculoskeletal	Muscle	ES.derived
ENCSRMAR042.Primary_T_helper_17_cells_PMA.I_stimulated.Broad_Bernstein	Blood	Blood	T.cell
ENCSR470JHE.Brain_Cerebellum.UCSF_Costello	Nervous	Brain	Brain
ENCSR920UAO.NH.A_Astrocytes_Primary_Cells.UCSF_Costello	Nervous	Brain	Astrocyte
ENCSR985KAT.HepG2_Hepatocellular_Carcinoma_Cell_Line.UConn_Graveley	Gastrointestinal	Liver	Carcinoma
ENCSR995BHD.Aorta.Stanford_Snyder	Cardiovascular	Aorta	Aorta
ENCSR738PHQ.HUES64_Cells.Harvard	Embryonic	ESC	ESC
ENCSR305NXN.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR572FXC.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR000AEO.K562_Leukemia_Cells.UConn_Graveley	Blood	Blood	Leukemia
ENCSR406YML.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR555LFY.Foreskin_Fibroblast_Primary_Cells_skin01.UCSF_Costello	Skin	Dermis	Fibroblast
ENCSR239BBI.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR817TLH.Psoas_Muscle.Stanford_Snyder	Musculoskeletal	Muscle	Muscle
ENCSR919QJT.H4_Neuroglioma_Cell_Line.CSHL_Gingeras	Nervous	Brain	Neuroglioma
ENCSR000CUL.Fibroblast_of_Villous_Mesenchyme.CSHL_Gingeras	Reproductive	Mesenchyme	Fibroblast
ENCSR700BEW.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.UCSD_Thomson	Embryonic	ES.derived	ES.derived
ENCSR534JVH.Fetal_Intestine_Small.UW_Glass	Gastrointestinal	Small Intestine	Small Intestine
ENCSR775KCE.Thymus.Stanford_Snyder	Immune	Thymus	Thymus
ENCSR094RGI.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR039ICU.Small_Intestine.Stanford_Snyder	Gastrointestinal	Small Intestine	Small Intestine
ENCSR352GCS.Fetal_Kidney_Pelvis.UW_Glass	Urinary	Kidney	Kidney
ENCSR000AEZ.Fetal_Heart.CSHL_Gingeras	Cardiovascular	Heart	Heart
ENCSR433YBD.Mammary_Gland_Stem_Cells.UCSF_Costello	Breast	Gland	Stem
ENCSR022MON.Fetal_Skin_Fibroblast_Scalp.UW_Glass	Skin	Dermis	Fibroblast
ENCSR000AFA.Fetal_Kidney_Metanephros.CSHL_Gingeras	Urinary	Kidney	Kidney
ENCSR938LSP.iPS_PGP1_Cells.CSHL_Gingeras	iPS	iPS	iPS
ENCSR555BCP.Fetal_Adrenal_Gland.UW_Glass	Endocrine	Adrenal	Adrenal
ENCSR000CWK.GM12891_Lymphoblastoid_Cells.Caltech_Wold	Blood	Blood	Lymphoblastoid
ENCSR572EET.H1_Derived_Neuronal_Progenitor_Cultured_Cells.UCSD_Thomson	Nervous	Brain	ES.derived
ENCSR808WMY.Mammary_Gland_Myoepithelial_Primary_Cells.UCSF_Costello	Breast	Gland	Epithelial
ENCSR861QKF.Primary_T_CD8._cells_from_peripheral_blood.FHCRC_Heimfeld	Blood	Blood	T.cell
ENCSR286KWP.Fetal_Intestine_Large.UW_Glass	Gastrointestinal	Large Intestine	Large Intestine
ENCSR759WPF.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR907KDH.Fetal_Kidney.UW_Glass	Urinary	Kidney	Kidney
ENCSR490SQH.ES.WA7_Cells.CSHL_Gingeras	Embryonic	ESC	ESC
ENCSR000AFC.Fetal_Lung.CSHL_Gingeras	Respiratory	Lung	Lung
ENCSR929HDF.Breast_variant_Human_Mammary_Epithelial_Cells_vHMEC.UCSF_Costello	Breast	Skin	Epithelial
ENCSR000CTT.SK.N.SH_Neuroblastoma_Cell_Line.CSHL_Gingeras	Nervous	Metastasis	Neuroblastoma
ENCSR338FSZ.Chorion.UCSF_Costello	Embryonic	Chorion	Chorion
ENCSR891JVD.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR968WKR.Bipolar_Spindle_Neuron_Cultured_Cells.CSHL_Gingeras	Nervous	Brain	Neuron
ENCSR680AAZ.Adrenal_Gland.Stanford_Snyder	Endocrine	Adrenal	Adrenal
ENCSR148SUU.Mammary_Gland_Luminal_Epithelial_Primary_Cells.UCSF_Costello	Breast	Gland	Epithelial
ENCSR523EDD.Fetal_Intestine_Small.UW_Glass	Gastrointestinal	Small Intestine	Small Intestine
ENCSR785OCX.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR313TJR.Primary_mononuclear_cells_from_peripheral_blood.UCSF_Costello	Blood	Blood	T.cell
ENCSR332DBS.LHCN.M2_Skeletal_Muscle_Myoblast_Cells.CSHL_Gingeras	Musculoskeletal	Muscle	Skeletal
ENCSR489KLG.Primary_T_helper_2_memory_cells_from_peripheral_blood.UCSF_Costello	Blood	Blood	T.cell
ENCSR371VGV.Uterus_Myometrial_Smooth_Muscle_Primary_Cells.CSHL_Gingeras	Reproductive	Uterus	Smooth
ENCSR000CWM.HCT116_Colorectal_Carcinoma_Cell_Line.Caltech_Wold	Gastrointestinal	Colorectal	Carcinoma
ENCSR000CUP.Placental_Epithelial_Primary_Cells.CSHL_Gingeras	Reproductive	Placenta	Epithelial
ENCSR071ZMO.Kidney.Stanford_Snyder	Urinary	Kidney	Epithelial
ENCSR000AFZ.Skeletal_Muscle_Male.CSHL_Gingeras	Musculoskeletal	Muscle	Skeletal
ENCSR027EJD.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR275ZLF.H1_Derived_Mesenchymal_Stem_Cells.UCSD_Thomson	Embryonic	ES.derived	ES.derived
ENCSR000BYK.BE2C_Neuroblastoma_Cell_Line.HAIB_Myers	Nervous	Brain	Neuroblastoma
ENCSR100JHX.Mammary_Gland_Myoepithelial_Primary_Cells.UCSF_Costello	Breast	Gland	Epithelial
ENCSR504VXC.A375_Malignant_Melanoma_Cell_Line.CSHL_Gingeras	Skin	Epidermis	Melanoma
ENCSR000AEE.GM12878_Lymphoblastoid_Cells.UConn_Graveley	Blood	Blood	Lymphoblastoid
ENCSR693CSQ.Left_Ventricle.Stanford_Snyder	Cardiovascular	Heart	Ventricle
ENCSR851BRK.hESC_Derived_CD56._Ectoderm_Cultured_Cells.Harvard	Embryonic	Ectoderm	Ectoderm
ENCSR452VLO.Foreskin_Keratinocyte_Primary_Cells_skin02.UCSF_Costello	Skin	Epidermis	Keratinocyte
ENCSR971GPJ.HT.29_Colorectal_Adenocarcinoma_Cell_Line.CSHL_Gingeras	Gastrointestinal	Colorectal	Adenocarcinoma
ENCSR009MVJ.Cortex_derived_primary_cultured_neurospheres.UCSF_Costello	Nervous	Brain	Neurosphere
ENCSR000CTK.IMR90_Fetal_Lung_Fibroblasts_Cell_Line.CSHL_Gingeras	Respiratory	Lung	Fibroblast
ENCSR741QEH.Adipose_Nuclei.Stanford_Snyder	Adipose	Adipose	Adipocyte
ENCSR688YOZ.Fetal_Adrenal_Gland.UW_Glass	Endocrine	Adrenal	Adrenal
ENCSR175CNQ.Fetal_Thymus.UW_Glass	Immune	Thymus	Thymus
ENCSR783BUO.Fetal_Stomach.UW_Glass	Gastrointestinal	Stomach	Stomach
ENCSR000AFH.Fetal_Spinal_Cord.CSHL_Gingeras	Nervous	Brain	Spinal cord
ENCSR699YJR.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR621FYE.Fetal_Intestine_Small.UW_Glass	Gastrointestinal	Small Intestine	Small Intestine
ENCSR634LOX.Foreskin_Melanocyte_Primary_Cells_skin03.UCSF_Costello	Skin	Epidermis	Melanocyte
ENCSR000CTQ.IMR90_Fetal_Lung_Fibroblasts_Cell_Line.CSHL_Gingeras	Respiratory	Lung	Fibroblast
ENCSR729ZII.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR878EUT.Kidney_Glomerular_Endothelial_Primary_Cells.CSHL_Gingeras	Urinary	Kidney	Endothelial
ENCSR000COZ.HUVEC_Umbilical_Vein_Endothelial_Primary_Cells.CSHL_Gingeras	Reproductive	Umbilical cord	Endothelial
ENCSR192NBO.Mammary_Gland_Fibroblast_Primary_Cells.UCSF_Costello	Breast	Gland	Fibroblast
ENCSR905LVO.Primary_monocytes_from_peripheral_blood.FHCRC_Heimfeld	Blood	Blood	B.cell
ENCSR706XCG.Placenta.UCSF_Costello	Reproductive	Placenta	Placenta
ENCSR859KGW.Fetal_Intestine_Large.UW_Glass	Gastrointestinal	Large Intestine	Large Intestine
ENCSR863BUL.Fetal_Heart.UW_Glass	Cardiovascular	Heart	Heart
ENCSR000AFI.Fetal_Stomach.CSHL_Gingeras	Gastrointestinal	Stomach	Stomach
ENCSR000AEX.Brain_Diencephalon.CSHL_Gingeras	Nervous	Brain	Brain
ENCSR822AOE.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR000AEW.Brain_Cerebellum.CSHL_Gingeras	Nervous	Brain	Brain
ENCSR534UXT.Placenta_Amnion.UCSF_Costello	Reproductive	Amnion	Amnion
ENCSR971KNW.MG.63_Osteosarcoma_Cell_Line.CSHL_Gingeras	Musculoskeletal	Bone	Sarcoma
ENCSR110BDY.Cardiac_Atrium_Fibroblast_Primary_Cells.CSHL_Gingeras	Cardiovascular	Heart	Fibroblast
ENCSR725TPW.Ovary.Stanford_Snyder	Reproductive	Ovary	Ovary
ENCSR777ONH.Fetal_Intestine_Large.UW_Glass	Gastrointestinal	Large Intestine	Large Intestine
ENCSR000EYO.K562_Leukemia_Cells.Caltech_Wold	Blood	Blood	Leukemia
ENCSR444WHQ.HSMM_Skeletal_Muscle_Myoblasts_Cells.CSHL_Gingeras	Musculoskeletal	Muscle	Skeletal
ENCSR806ESH.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR000AAV.Uterine_Smooth_Muscle_Primary_Cells.CSHL_Gingeras	Reproductive	Uterus	Smooth
ENCSR929KRW.Fetal_Kidney_Pelvis.UW_Glass	Urinary	Kidney	Kidney
ENCSR740OPV.Fetal_Adrenal_Gland.UW_Glass	Endocrine	Adrenal	Adrenal
ENCSR714KDG.Liver.Stanford_Snyder	Gastrointestinal	Liver	Liver
ENCSR047LLJ.Fetal_Heart.UW_Glass	Cardiovascular	Heart	Heart
ENCSR000BXX.Jurkat_Lymphoblastoid_Cell_Line.HAIB_Myers	Blood	Blood	Lymphoblastoid
ENCSR919MZM.Endometrial_Microvascular_Endothelial_Primary_Cells.CSHL_Gingeras	Reproductive	Endometrium	Endothelial
ENCSR793CEK.Placenta.UCSF_Costello	Reproductive	Placenta	Placenta
ENCSR702IMR.Fetal_Kidney.UW_Glass	Urinary	Kidney	Kidney
ENCSR000CPH.K562_Leukemia_Cells.CSHL_Gingeras	Blood	Blood	Leukemia
ENCSR335GET.Fetal_Adrenal_Gland.UW_Glass	Endocrine	Adrenal	Adrenal
ENCSR860DST.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSRMAR040.Primary_T_helper_1_memory_cells_from_peripheral_blood.Broad_Bernstein	Blood	Blood	T.cell
ENCSR043KVA.Ganglion_Eminence_derived_primary_cultured_neurospheres.UCSF_Costello	Nervous	Brain	Neurosphere
ENCSR158XIJ.Fetal_Thymus.UW_Glass	Immune	Thymus	Thymus
ENCSR547TNE.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR001HHK.Oci.Ly.7_B_Cell_Non.Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras	Blood	Blood	Lymphoma
ENCSR580GSX.A172_Glioblastoma_Cell_Line.CSHL_Gingeras	Nervous	Brain	Glioblastoma
ENCSR000CUH.NHDF.Ad_Adult_Dermal_Fibroblast_Primary_Cells.CSHL_Gingeras	Skin	Dermis	Fibroblast
ENCSR545WAC.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR451KXG.Ganglion_Eminence_derived_primary_cultured_neurospheres.UCSF_Costello	Nervous	Brain	Neurosphere
