Sample	System	Organ	CellType
ENCSR256YHI.Cortex_derived_primary_cultured_neurospheres.UCSF_Costello	Nervous	Brain	Neurosphere
ENCSR000AHH.Fetal_Heart.CSHL_Gingeras	Cardiovascular	Heart	Heart
ENCSR410DUZ.Fetal_Kidney_Pelvis.UW_Glass	Urinary	Kidney	Kidney
ENCSR995ORR.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR000EYP.H1_Cells.Caltech_Wold	Embryonic	ESC	ESC
ENCSR000CUC.Primary_monocytes_from_peripheral_blood.CSHL_Gingeras	Blood	Blood	B.cell
ENCSR118TVR.Kidney_Proximal_Tube_Epithelial_Primary_Cells.CSHL_Gingeras	Urinary	Kidney	Epithelial
ENCSR328PVI.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR568YRP.SJCRH30_Rhabdomyosarcoma_Cell_Line.CSHL_Gingeras	Musculoskeletal	Metastasis	Sarcoma
ENCSR681ALA.Fetal_Skin_Fibroblast_Abdomen.UW_Glass	Skin	Dermis	Fibroblast
ENCSR899NLW.Fetal_Spinal_Cord.UW_Glass	Nervous	Brain	Spinal cord
ENCSR000AFN.Uterus.CSHL_Gingeras	Reproductive	Uterus	Uterus
ENCSR254JJM.Daoy_Desmoplastic_Cerebellar_Medulloblastoma_Cell_Line.CSHL_Gingeras	Nervous	Brain	Medulloblastoma
ENCSR204XBB.Fetal_Kidney_Pelvis.UW_Glass	Urinary	Kidney	Kidney
ENCSR096USV.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR136WGP.SK.N.DZ_Neuroblastoma_Cell_Line.CSHL_Gingeras	Nervous	Metastasis	Neuroblastoma
ENCSR271DJJ.Pancreatic_Islets.UCSF_Costello	Endocrine	Pancreas	Islet
ENCSR000AED.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	Blood	Blood	Lymphoblastoid
ENCSR433GXV.hESC_Derived_CD56._Mesoderm_Cultured_Cells.Harvard	Embryonic	Mesoderm	Mesoderm
ENCSR535VTR.HT1080_Fibrosarcoma_Cell_Line.CSHL_Gingeras	Musculoskeletal	Stromal	Sarcoma
ENCSR000AEV.Bladder.CSHL_Gingeras	Urinary	Bladder	Bladder
ENCSR314LXG.Karpas.422_B_Cell_Non.Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras	Blood	Blood	Lymphoma
ENCSR642GSA.Primary_T_CD8._naive_cells_from_peripheral_blood.UCSF_Costello	Blood	Blood	T.cell
ENCSR880EGO.SJSA1_Osteosarcoma_Cell_Line.CSHL_Gingeras	Musculoskeletal	Bone	Sarcoma
ENCSR000AAT.Umbilical_Artery_Epithelial_Primary_Cells.CSHL_Gingeras	Reproductive	Umbilical cord	Epithelial
ENCSR000EYQ.HeLa.S3_Cervical_Carcinoma_Cell_Line.Caltech_Wold	Reproductive	Cervix	Carcinoma
